,title,model_family,downstream_application,omics_modality
528,Transcriptomic advances in studies of muscle stem cell aging: From bulk to single-cell and beyond.,spatial_omics,"biomarker_discovery, spatial_reconstruction, trajectory_inference","scRNA-seq, scATAC-seq, Spatial"
529,STGNET: extending panel coverage in imaging-based spatial transcriptomics using deep generative adversarial networks.,graph_neural_network,"generation, spatial_reconstruction","scRNA-seq, Spatial"
530,Integrated single-cell and spatial mapping coupled with machine learning unveils core stemness landscapes and regulatory drivers in triple-negative breast cancer.,graph_neural_network,"perturbation_prediction, spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
531,Mathematical dissection of tumor phenotypic heterogeneity in a spatial data-informed nonlocal reaction-diffusion model.,multimodal_fusion,"perturbation_prediction, batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
532,MEG3 in glioma stem cells promotes glioblastoma angiogenesis through FUBP3-mediated VGF expression.,spatial_omics,"perturbation_prediction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
533,Ultra-precision deconvolution of spatial transcriptomics decodes immune heterogeneity and fate-defining programs in tissues.,spatial_omics,"generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
534,Spatially structured inflammatory response in the presence of a uniform stimulus.,multimodal_fusion,spatial_reconstruction,Spatial
535,FineST: contrastive learning integrates histology and spatial transcriptomics for nuclei-resolved ligand-receptor analysis.,multimodal_fusion,"cell_type_annotation, batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
536,A Soft Matrix Microenvironment Promotes Laterally Spreading Tumors via Oxidative Phosphorylation-Dependent Cell Adhesion.,spatial_omics,"biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
537,Mast cell-derived MIF Polarizes Th17 cells to drive lung adenocarcinoma progression.,multimodal_fusion,spatial_reconstruction,"scRNA-seq, Spatial"
538,Endogenous Multilayer Control of Cambial Stem Cells and Its Consequences for Wood Formation.,spatial_omics,"spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq, Spatial"
539,Artificial intelligence assisted multi-model pathological diagnosis of breast cancer based on multispectral autofluorescence images.,multimodal_fusion,"cell_type_annotation, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
540,The landscape of B and plasma cells in breast cancer: insights from single-cell and spatial transcriptomics.,spatial_omics,"biomarker_discovery, generation, spatial_reconstruction","scRNA-seq, Spatial"
541,AJUBA: The Master Regulator Bridging EMT and Immune Evasion in Colorectal Cancer.,spatial_omics,"perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
542,Comprehensive immune profiling reveals IFN-γ signaling in T cells mediates parasite phagocytosis in a rodent malaria model.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
543,Spatial Transcriptomics Meets Histochemistry: Insights from Glioblastoma as a Model System.,multimodal_fusion,"batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
544,BrainConnect: processing brain connectivity and spatial transcriptomics data for integrative analysis.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
545,Bridging tradition and innovation: electroacupuncture's impact on premature ovarian insufficiency.,multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
546,Immunotolerant Oligomer scaffolds promote regenerative remodeling and improved muscle structure and function after volumetric muscle loss.,spatial_omics,"generation, spatial_reconstruction","scRNA-seq, Spatial"
547,Selective weakening of population-coupled synaptic activity in vivo in a mouse model of amyloid-beta pathology.,spatial_omics,"spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
548,Spatially defined danger zone shapes gastric cancer progression through CCDC80 fibroblast-induced CD8 T cell dysfunction.,spatial_omics,"biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
549,Multi-Omics Data Reveal Estrogen-Driven Dysregulation and Stromal-Epithelial Signaling Alterations in Endometrial Polyps.,multimodal_fusion,"spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
550,Dissecting spatial patterning and signaling with directional diffusion in spatial multi-omics.,multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
551,"SDF2L1 modulates oxLDL-induced endoplasmic reticulum stress, protein aggregation, and O-mannosylation in myocardial infarction and lung cancer.",spatial_omics,"perturbation_prediction, biomarker_discovery, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
552,"A hormetic transcriptional program coregulates invasion, proliferation and dormancy to define metastatic potential.",multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Spatial"
553,Gut Microbiota-Induced CTLA4 Expression on CD8 T Cells Impairs Antitumor Immunity and Promotes Colorectal Cancer Progression.,spatial_omics,"perturbation_prediction, spatial_reconstruction","scRNA-seq, Spatial"
554,The dorsal root ganglion T-junction: a critical node in somatosensory processing and pain pathogenesis.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
555,Structural dynamics of microtubules in glioma: impact on macrophage M2 polarization and tumor cell heterogeneity.,spatial_omics,"perturbation_prediction, biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
556,Multiomics and experimental validation reveal theophylline's mechanism targeting IL1A/ACTB/TLR4 and identify synergistic drugs in hepatocellular carcinoma.,spatial_omics,"perturbation_prediction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
557,Mechanism of cancer-associated fibroblast-driven thyroid cancer dedifferentiation via the ZFP57-PKM2 axis-mediated lactate secretion and therapeutic intervention with resveratrol​.,spatial_omics,"cell_type_annotation, perturbation_prediction, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
558,Reconstructing single-cell resolution from spatial transcriptomics with CellRefiner.,spatial_omics,"generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
559,Normal abundance of immune cells in left ventricular myocardium from patients with heart failure and preserved ejection fraction.,spatial_omics,"biomarker_discovery, spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
560,"NAFLD and Hypothyroidism: Deciphering Pivotal Genetic Variants, Cellular Expression Landscapes, and Spatial Architectures.",spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, scATAC-seq, Spatial"
561,Single-cell transcriptomics reveals hair growth retardation mediated by aberrant connective tissue sheath contraction in male androgenetic alopecia.,spatial_omics,"generation, spatial_reconstruction","scRNA-seq, Spatial"
562,Emerging trends and converging evidence in tumor evolution: A comprehensive review.,multimodal_fusion,"biomarker_discovery, generation, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq, Spatial, Methylation/Epigenomics"
563,Fitness Training for γδ T cells in mouse and human atherosclerosis takes place in plaques and artery tertiary lymphoid organs.,multimodal_fusion,"batch_correction, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, Spatial"
564,CD14 Plays a Critical Role in Pain and Inflammation Across Multiple Models of Post-traumatic Osteoarthritis.,multimodal_fusion,spatial_reconstruction,"scRNA-seq, Protein/CITE-seq, Spatial"
565,Single-nucleus transcriptomics of an engineered pig model reveals microglia-T cell interactions driving Huntington's disease neurodegeneration.,spatial_omics,"generation, spatial_reconstruction","scRNA-seq, Spatial"
566,A spatial transcriptomics comparison of the adult versus metamorphosed axolotl brain.,spatial_omics,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
567,Single-cell and spatial transcriptomics define 20E-driven developmental reprogramming in silkworm wing disc.,multimodal_fusion,"cell_type_annotation, batch_correction, spatial_reconstruction, trajectory_inference",unspecified
568,Multi-omics analysis reveals that CAPG positive macrophages are key immunosuppressive drivers and prognostic determinants in the ferroptosis landscape of hepatocellular carcinoma.,graph_neural_network,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
569,MIF-CD74 axis facilitates MDSC infiltration in the tumor microenvironment of pancreatic ductal adenocarcinoma.,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
570,UNC93B1 promotes pancreatic cancer progression through modulation of cGAS-STING signaling.,graph_neural_network,"cell_type_annotation, perturbation_prediction, biomarker_discovery, batch_correction, generation, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
571,Upregulation of SLC38A2 by melatonin attenuates hippocampal ferroptosis in Alzheimer's disease.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
572,"Single-cell transcriptomic analysis and machine learning identify ATAD3A as a key gene that stabilizes mitochondrial-endoplasmic reticulum membranes, promoting bladder cancer progression.",multimodal_fusion,"perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
573,Single-cell RNA sequencing and spatial transcriptomic analysis reveal a distinct population of G6PD cells with aberrant bile acid metabolism in hepatocellular carcinoma.,spatial_omics,"perturbation_prediction, biomarker_discovery, spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
574,Systemic CSF1R Targeting Depletes Pathogenic MPS Bubs and Ameliorates Psoriasis via PPARα-mediated Resolution.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
575,DeepSGE: predicting spatial gene expression using residual network with efficient channel attention and dynamic graph attention network.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
576,3D reconstruction of spatial transcriptomics with spatial pattern enhanced graph convolutional neural network.,graph_neural_network,"spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
577,SpatialESD: Spatial Ensemble Domain Detection in Spatial Transcriptomics.,spatial_omics,"spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
578,Recent Advances in Single-Cell Analysis of Atherosclerotic Plaque Biology.,spatial_omics,"generation, spatial_reconstruction","scRNA-seq, Spatial"
579,HistoSweep enables cellular-resolution tissue quality control for gigapixel images in digital pathology and spatial omics.,transformer_masked_lm,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
580,A perspective on developing foundation models for analyzing spatial transcriptomic data.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
581,Identification of UBE2T as a novel diagnostic biomarker of psoriasis and proliferating UBE2T+ Keratinocyte in psoriasis.,spatial_omics,"perturbation_prediction, biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
582,Signal-based spatial domain identification of spatially resolved transcriptomics with multigraph fusion.,multimodal_fusion,spatial_reconstruction,"scRNA-seq, Spatial"
583,"Integrated multi-omics, spatial profiling and organoid modeling drive transformative advances in chronic liver disease and hepatocellular carcinoma immunomicroenvironment research.",multimodal_fusion,"perturbation_prediction, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
584,A novel integrative machine learning-based prognostic model reveals lactylation regulation in hepatocellular carcinoma progression.,spatial_omics,"perturbation_prediction, biomarker_discovery, generation, spatial_reconstruction","scRNA-seq, Protein/CITE-seq, Spatial"
585,Attention-guided enhanced deconvolution enables reference-free cell type estimation in spatial transcriptomics.,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
586,Combining Spatial Transcriptomics and Machine Learning Unravels Fibroblast-Related Biomarkers in Ulcerative Colitis.,graph_neural_network,"cell_type_annotation, biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
587,Integrating Spatial Proteogenomics in Cancer Research.,multimodal_fusion,"perturbation_prediction, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
588,RT-ICI therapy induces a distal immunometabolic axis that shapes systemic macrophage polarization and enhances local T cell immunity.,spatial_omics,"spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
589,"Spatial resolution of the metastatic osteosarcoma tumor microenvironment using immunolabeling across murine, canine and human lung.",spatial_omics,"cell_type_annotation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
590,SAGE-FM: A lightweight and interpretable spatial transcriptomics foundation model.,transformer_masked_lm,"cell_type_annotation, perturbation_prediction, generation, spatial_reconstruction","scRNA-seq, Spatial"
591,ISG15-driven immune modulation and tumor progression in breast cancer metastasis: insights from single-cell and spatial transcriptomics.,spatial_omics,"biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
592,Unraveling dengue virus-host interactions through transcriptomics: Insights into disease progression and severity signatures.,spatial_omics,"biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
593,Spatial transcriptomics reveals tumor microenvironment-driven subtypes of invasive lobular carcinoma.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
594,Self-supervised pretraining with NuSPIRe unlocks nuclear morphology-driven insights in spatial omics.,spatial_omics,"cell_type_annotation, perturbation_prediction, spatial_reconstruction",Spatial
595,The Role of CCR1 as a decisive factor for immune response activation versus suppression phenotypes in gastric cancer.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
596,Molecular signatures of resilience to Alzheimer's disease in neocortical layer 4 neurons.,spatial_omics,"perturbation_prediction, biomarker_discovery, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
597,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
598,Novae: a graph-based foundation model for spatial transcriptomics data,variational_autoencoder,"batch_correction, spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
599,STPath: A Generative Foundation Model for Integrating Spatial Transcriptomics and Whole Slide Images,transformer_masked_lm,"biomarker_discovery, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
600,stDiff: a diffusion model for imputing spatial transcriptomics through single-cell transcriptomics,multimodal_fusion,"batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
601,Building a spatial transcriptomics platform,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
602,Interactive visualisation of spatial transcriptomics data,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
603,Mapping tissue remodelling using sequencing-based spatial transcriptomics,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
604,Inferring cell-cell communication through spatial transcriptomics data,spatial_omics,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
605,"Imaging-based spatial transcriptomics: methods, preprocessing, and quality control",spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
606,Current computational methods for spatial transcriptomics in cancer biology,spatial_omics,spatial_reconstruction,unspecified
607,FISHFactor: A Probabilistic Factor Model for Spatial Transcriptomics Data with Subcellular Resolution,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
608,Visualising integrated single cell and spatial transcriptomics datasets,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
609,stBERT: A Pretrained Model for Spatial Domain Identification of Spatial Transcriptomics,transformer_masked_lm,spatial_reconstruction,unspecified
610,Fast analysis of Spatial Transcriptomics (FaST): an ultra lightweight and fast pipeline for the analysis of high resolution spatial transcriptomics,multimodal_fusion,"batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
611,Spatial transcriptomics in action: a case study from human reproductive development,spatial_omics,spatial_reconstruction,"scRNA-seq, scATAC-seq, Spatial"
612,TSRST: A LongNet Transformer Model for Imputing Super-Resolution Spatial Transcriptomics,spatial_omics,spatial_reconstruction,unspecified
613,Discovering cell type and tissue architecture with imaging-based spatial transcriptomics,spatial_omics,"cell_type_annotation, spatial_reconstruction",unspecified
614,Diffusionst: A Diffusion Model-Based Framework for Enhancing Spatial Transcriptomics Data Quality and Identifying Spatial Domains,multimodal_fusion,spatial_reconstruction,unspecified
615,Spatially Guided Single-Cell Analysis Integrating Spatial Transcriptomics and Spatial Cell Sorting for In-Depth Profiling,spatial_omics,spatial_reconstruction,unspecified
616,DiffuST: a latent diffusion model for spatial transcriptomics denoising,variational_autoencoder,spatial_reconstruction,"scRNA-seq, Spatial"
617,Spatial Transcriptomics-Aided Localization for Single-Cell Transcriptomics with STALocator,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
618,SONAR enables cell type deconvolution with spatially weighted Poisson-Gamma model for spatial transcriptomics,spatial_omics,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
619,Masked Conditional Diffusion Model with GNN for Spatial Transcriptomics Data Imputation,transformer_masked_lm,"generation, spatial_reconstruction",unspecified
620,Integrating single-cell and spatial transcriptomics to map the rules of neurological conditions,multimodal_fusion,spatial_reconstruction,"scRNA-seq, Spatial"
621,Mapping biology in space: a guide to technologies and workflows in spatial transcriptomics,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
622,STANCE: a unified statistical model to detect cell-type-specific spatially variable genes in spatial transcriptomics,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
623,ISID0319 - Spatial transcriptomics and single-cell transcriptomics elucidates the intricate inflammatory cellular network in atopic dermatitis,spatial_omics,spatial_reconstruction,unspecified
624,Halo: a pretrained model for whole-cell segmentation from nuclei images in spatial transcriptomics,multimodal_fusion,"cell_type_annotation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
625,Spatial transcriptomics,spatial_omics,spatial_reconstruction,unspecified
626,Museum of spatial transcriptomics,spatial_omics,spatial_reconstruction,unspecified
627,TESSA: A unified model to detect trajectory-preserved and spatially-variable genes in spatial transcriptomics,spatial_omics,"spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
628,Non-negative spatial matrix factorization for multi-sample spatial transcriptomics data,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
629,Deep learning-based multimodal spatial transcriptomics analysis for cancer,multimodal_fusion,"spatial_reconstruction, multimodal_integration",unspecified
630,Crosstalk between tumor and microenvironment: Insights from spatial transcriptomics,spatial_omics,spatial_reconstruction,unspecified
631,E2BRN006 - Spatial transcriptomics on human epidermal equivalents,spatial_omics,spatial_reconstruction,unspecified
632,Spatial transcriptomics dimensionality reduction using wavelet bases,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
633,Cross-Propagative Graph Learning Reveals Spatial Tissue Domains in Multi-Modal Spatial Transcriptomics,multimodal_fusion,"spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
634,Detection of differentially expressed genes in spatial transcriptomics data by spatial analysis of spatial transcriptomics: A novel method based on spatial statistics,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
635,A Bayesian Multivariate Mixture Model for Spatial Transcriptomics Data,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
636,stIHC: Spatial Transcriptomics Iterative Hierarchical Clustering,spatial_omics,spatial_reconstruction,unspecified
637,"Integrative analysis of scRNA-seq, spatial transcriptomics, and machine learning constructs a prognostic model for Pyrotinib resistance in breast cancer",graph_neural_network,"perturbation_prediction, biomarker_discovery, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
638,SMART: spatial transcriptomics deconvolution using marker-gene-assisted topic model,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
639,Interpretable Spatial Gradient Analysis for Spatial Transcriptomics Data,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
640,STDrug enables spatially informed personalized drug repurposing from spatial transcriptomics.,graph_neural_network,"perturbation_prediction, biomarker_discovery, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
641,scMultiPreDICT: A single-cell predictive framework with transcriptomic and epigenetic signatures.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, multimodal_integration",scATAC-seq
642,Single-Cell Virtual Perturbation Screening Identifies STAT3 as a Key Regulator of Dentinogenesis.,perturbation_prediction,"perturbation_prediction, generation, trajectory_inference","scRNA-seq, scATAC-seq"
643,Unveiling gene perturbation effects through gene regulatory networks inference from single-cell transcriptomic data.,perturbation_prediction,"perturbation_prediction, batch_correction, generation, trajectory_inference",scRNA-seq
644,Modeling Insights into Potential Mechanisms of Opioid-Induced Respiratory Depression within Medullary and Pontine Networks.,perturbation_prediction,perturbation_prediction,unspecified
645,Using cell-specific late-phase asthma mRNA biomarkers to repurpose drugs that concurrently reverse disease signatures across multiple immune cell-types.,perturbation_prediction,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
646,Integrative Mendelian randomization and experimental validation prioritize KLF4 in the gut microbiota-pyroptosis-barrier axis of ulcerative colitis.,perturbation_prediction,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
647,Compact and informative representation learning for scRNA-seq data clustering with masked information bottleneck.,transformer_masked_lm,perturbation_prediction,scRNA-seq
648,Local transcriptional covariation produces accurate estimates of cell phenotype.,perturbation_prediction,"perturbation_prediction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
649,Computational framework for therapeutic target discovery via perturbation simulation: application to cystic fibrosis airway disease.,graph_neural_network,perturbation_prediction,scRNA-seq
650,IGHG1 malignant epithelial Cell-myCAF crosstalk via MIF-CD74/APP-CD74 drives early brain metastasis in NSCLC: Delineated via primary tumor-brain metastasis single-cell and spatial transcriptomics.,multimodal_fusion,"perturbation_prediction, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
651,A Composite interaction Score: Prioritizing cell-cell interactions from single-cell RNA-seq with application to pre-menopausal epithelial barriers.,foundation_scale_pretraining,unspecified,scRNA-seq
652,Circular and Long Non-Coding RNAs in Cancer Metabolism: Dual Perspective of Biomarkers and Therapeutic Targets.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
653,Celcomen: spatial causal disentanglement for single-cell and tissue perturbation modeling.,graph_neural_network,"perturbation_prediction, generation, spatial_reconstruction","scRNA-seq, Spatial"
654,"A Multispecies, Modality-Agnostic Scalable In Vivo Mosaic Screening Platform for Therapeutic Target Discovery.",perturbation_prediction,"perturbation_prediction, biomarker_discovery, generation",scRNA-seq
655,Boundary-layer modeling of viscoelastic sphere deformation in acoustic fields: Toward single-cell mechanical characterization.,perturbation_prediction,perturbation_prediction,unspecified
656,MultiPert: An adversarial alignment and dual attention framework for single-cell multi-omics perturbation prediction.,multimodal_fusion,"perturbation_prediction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
657,"Resveratrol ameliorates sepsis-induced immune dysfunction by targeting GADD45A to maintain hematopoietic stem cell homeostasis: A predictive study integrating ensemble machine learning, single-cell transcriptomics, and molecular dynamics simulation.",foundation_scale_pretraining,trajectory_inference,scRNA-seq
658,Gene regulatory networks: from correlative models to causal explanations.,perturbation_prediction,"perturbation_prediction, generation",unspecified
659,Ribosomal modifications are associated with mesenchymal fate selection in the neural crest lineage.,foundation_scale_pretraining,"cell_type_annotation, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq"
660,"MT2A buffering exhaustion marks cuproptosis in severe COVID-19: Multi-omics integration, computational modeling, and experimental validation.",multimodal_fusion,"perturbation_prediction, batch_correction, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq"
661,PAH-former: Transfer learning for efficient discovery of pulmonary arterial hypertension-associated genes.,transformer_masked_lm,"perturbation_prediction, biomarker_discovery",unspecified
662,PertSpectra: Interpretable Matrix Factorization for Predicting Functional Impact of Genetic Perturbation Experiments.,perturbation_prediction,"perturbation_prediction, generation",unspecified
663,Generative Distribution Embeddings: Lifting autoencoders to the space of distributions for multiscale representation learning.,variational_autoencoder,"perturbation_prediction, generation, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq"
664,"Next-generation computational strategies for neurodegenerative biomarkers: Multi-omics integration, AI, and molecular modeling.",multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
665,"Virtual Cells Need Context, Not Just Scale.",perturbation_prediction,perturbation_prediction,unspecified
666,AI-driven CRISPR screening: optimizing gene editing through automation and intelligent decision support.,perturbation_prediction,perturbation_prediction,unspecified
667,Inferring bacterial cell size dynamics across media conditions.,hybrid_symbolic_statistical,unspecified,unspecified
668,Integrative bulk and single-cell transcriptomics link EZH2 to immunosuppressive programs and tumor-Treg crosstalk in castration-resistant prostate cancer.,perturbation_prediction,"perturbation_prediction, biomarker_discovery",scRNA-seq
669,SiCmiR Atlas: Single-Cell miRNA Landscape Reveals Hub-miRNA and Network Signatures in Human Cancers.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, biomarker_discovery, multimodal_integration",scRNA-seq
670,First computational characterization of : a schizophrenia-linked antisense RNA with synaptic functions.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, multimodal_integration",scRNA-seq
671,Mapping whole-organism genetic comorbidities across model Species using unified ontologies.,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
672,BMP and NODAL paracrine signalling regulate the totipotent-like cell state in embryonic stem cells.,hybrid_symbolic_statistical,trajectory_inference,unspecified
673,Latent Causal Diffusions for Single-Cell Perturbation Modeling.,multimodal_fusion,"perturbation_prediction, biomarker_discovery",scRNA-seq
674,scLong: a billion-parameter foundation model for capturing long-range gene context in single-cell transcriptomics.,graph_neural_network,"perturbation_prediction, batch_correction",scRNA-seq
675,Learning genetic perturbation effects with variational causal inference.,variational_autoencoder,perturbation_prediction,scRNA-seq
676,Microenvironmental niches dictate divergent fibroblast fates in reversible versus progressive lung fibrosis.,spatial_omics,"perturbation_prediction, biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
677,Parameter-efficient fine-tuning enables scalable transfer of regulatory sequence models to novel contexts.,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
678,JAK-centric explainable few-shot gene-expression diagnosis framework for alopecia via MultiPLIER priors and relation-style set-to-set comparison.,graph_neural_network,"cell_type_annotation, perturbation_prediction, biomarker_discovery, generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
679,Omics-based large language models: A new engine for drug discovery innovation.,perturbation_prediction,perturbation_prediction,"scRNA-seq, Protein/CITE-seq"
680,Scar-associated endothelial-stellate cellular crosstalk drives fibrosis resolution in MASH.,perturbation_prediction,perturbation_prediction,unspecified
681,SpatialProp: tissue perturbation modeling with spatially resolved single-cell transcriptomics.,graph_neural_network,"cell_type_annotation, perturbation_prediction, generation, spatial_reconstruction","scRNA-seq, Spatial"
682,Integration of single cell and bulk transcriptomic analyses identifies FAM189A2 as a key prognostic gene in lung cancer.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, spatial_reconstruction, trajectory_inference",scRNA-seq
683,Transcriptome changes in circulating immune cells of critical COVID-19 patients predict a specific metabolic and epigenetic imprint.,perturbation_prediction,"perturbation_prediction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
684,Stack: In-Context Learning of Single-Cell Biology.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, generation",scRNA-seq
685,Molecular Landscape and Predictive Significance of Programmed Cell Death-Related Genes in Sepsis.,graph_neural_network,biomarker_discovery,scRNA-seq
686,CausalGRN: deciphering causal gene regulatory networks from single-cell CRISPR screens.,perturbation_prediction,"perturbation_prediction, batch_correction",scRNA-seq
687,VISTA uncovers missing gene expression and spatial-induced information for spatial transcriptomic data analysis.,spatial_omics,"perturbation_prediction, generation, spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
688,Advancing spatial cellular communication inference with ligand diffusion and transport model.,multimodal_fusion,"perturbation_prediction, spatial_reconstruction","scRNA-seq, Spatial"
